,id_usuario,registro,pais,comprador
68,68,2021-09-07,Spain,1
69,69,2021-09-07,Denmark,0
70,70,2021-09-07,Poland,0
71,71,2021-09-07,Spain,1
72,72,2021-09-07,Spain,0
73,73,2021-09-07,France,1
74,74,2021-09-07,Greece,1
75,75,2021-09-07,Spain,0
76,76,2021-09-07,United Kingdom,0
77,77,2021-09-07,Latvia,0
78,78,2021-09-07,Italy,0
79,79,2021-09-07,Belgium,1
80,80,2021-09-07,Italy,1
81,81,2021-09-07,United Kingdom,1
82,82,2021-09-07,Czech Republic,1
83,83,2021-09-07,United Kingdom,1
84,84,2021-09-07,Spain,0
85,85,2021-09-07,Spain,1
86,86,2021-09-07,France,0
87,87,2021-09-07,Spain,1
88,88,2021-09-07,Spain,1
89,89,2021-09-07,Austria,1
90,90,2021-09-07,Germany,1
91,91,2021-09-07,Romania,1
92,92,2021-09-07,Romania,1
93,93,2021-09-07,Spain,1
94,94,2021-09-07,Luxembourg,0
95,95,2021-09-08,Spain,1
96,96,2021-09-08,Spain,0
97,97,2021-09-08,Italy,1
98,98,2021-09-08,France,0
99,99,2021-09-08,Spain,0
100,100,2021-09-08,Italy,0
101,101,2021-09-08,Slovenia,0
102,102,2021-09-08,Spain,1
103,103,2021-09-08,Austria,1
104,104,2021-09-08,Spain,0
105,105,2021-09-08,Italy,1
106,106,2021-09-08,Bulgaria,1
107,107,2021-09-08,France,0
108,108,2021-09-08,France,0
109,109,2021-09-08,Spain,0
110,110,2021-09-08,Spain,0
111,111,2021-09-08,Spain,1
112,112,2021-09-08,United Kingdom,0
113,113,2021-09-08,Slovakia,1
114,114,2021-09-08,Belgium,1
115,115,2021-09-08,France,1
116,116,2021-09-08,United Kingdom,1
117,117,2021-09-08,Spain,0
118,118,2021-09-08,Portugal,0
119,119,2021-09-08,Portugal,1
120,120,2021-09-09,Italy,1
121,121,2021-09-09,Netherlands,1
122,122,2021-09-09,Italy,1
123,123,2021-09-09,Portugal,0
124,124,2021-09-09,Croatia,0
125,125,2021-09-09,Spain,0
126,126,2021-09-09,France,1
127,127,2021-09-09,Portugal,1
128,128,2021-09-09,United Kingdom,0
129,129,2021-09-09,France,1
130,130,2021-09-09,Spain,0
131,131,2021-09-09,Spain,1
132,132,2021-09-09,Spain,0
133,133,2021-09-09,Spain,1
134,134,2021-09-09,Portugal,1
135,135,2021-09-09,Spain,1
136,136,2021-09-09,Portugal,1
137,137,2021-09-09,United Kingdom,1
138,138,2021-09-09,Spain,0
139,139,2021-09-09,Italy,0
140,140,2021-09-09,Spain,0
141,141,2021-09-09,Spain,1
142,142,2021-09-09,Spain,0
143,143,2021-09-09,Portugal,0
144,144,2021-09-09,Spain,1
145,145,2021-09-09,France,1
146,146,2021-09-09,Spain,1
147,147,2021-09-10,France,0
148,148,2021-09-10,United Kingdom,1
149,149,2021-09-10,United Kingdom,0
150,150,2021-09-10,Portugal,0
151,151,2021-09-10,Portugal,1
152,152,2021-09-10,France,1
153,153,2021-09-10,Spain,0
154,154,2021-09-10,Italy,0
155,155,2021-09-10,Cyprus,1
156,156,2021-09-10,Spain,0
157,157,2021-09-10,Spain,0
158,158,2021-09-10,Spain,1
159,159,2021-09-10,Spain,0
160,160,2021-09-10,Greece,0
161,161,2021-09-10,Spain,0
162,162,2021-09-10,Italy,1
163,163,2021-09-10,France,1
164,164,2021-09-10,Spain,1
165,165,2021-09-10,Italy,0
166,166,2021-09-10,Spain,0
167,167,2021-09-10,Spain,1
168,168,2021-09-10,Spain,0
169,169,2021-09-10,Italy,0
170,170,2021-09-10,Denmark,1
171,171,2021-09-10,United Kingdom,0
172,172,2021-09-10,Italy,1
173,173,2021-09-10,Spain,1
174,174,2021-09-10,France,1
175,175,2021-09-10,Spain,1
176,176,2021-09-11,Spain,0
177,177,2021-09-11,Spain,1
178,178,2021-09-11,Spain,0
179,179,2021-09-11,Spain,1
180,180,2021-09-11,France,1
181,181,2021-09-11,Latvia,0
182,182,2021-09-11,Poland,0
183,183,2021-09-11,Spain,0
184,184,2021-09-11,Spain,1
185,185,2021-09-11,Spain,1
186,186,2021-09-11,United Kingdom,0
187,187,2021-09-11,Italy,0
188,188,2021-09-11,Portugal,0
189,189,2021-09-11,Spain,0
190,190,2021-09-11,France,0
191,191,2021-09-11,Germany,1
192,192,2021-09-11,Latvia,1
193,193,2021-09-11,United Kingdom,1
194,194,2021-09-11,Spain,0
195,195,2021-09-11,Spain,0
196,196,2021-09-11,Spain,0
197,197,2021-09-11,France,1
198,198,2021-09-11,Spain,0
199,199,2021-09-11,France,1
200,200,2021-09-11,Italy,0
201,201,2021-09-11,Belgium,0
202,202,2021-09-11,Spain,1
203,203,2021-09-11,Portugal,0
204,204,2021-09-11,Spain,1
205,205,2021-09-11,Spain,1
206,206,2021-09-11,Portugal,0
207,207,2021-09-11,Spain,1
208,208,2021-09-11,Spain,1
209,209,2021-09-11,France,1
210,210,2021-09-11,Spain,0
211,211,2021-09-12,Italy,1
212,212,2021-09-12,Italy,0
213,213,2021-09-12,Spain,0
214,214,2021-09-12,Austria,1
215,215,2021-09-12,Latvia,1
216,216,2021-09-12,France,1
217,217,2021-09-12,Italy,1
218,218,2021-09-12,Belgium,1
219,219,2021-09-12,Italy,0
220,220,2021-09-12,Italy,1
221,221,2021-09-12,Italy,1
222,222,2021-09-12,Spain,0
223,223,2021-09-12,Austria,0
224,224,2021-09-12,France,0
225,225,2021-09-12,Portugal,1
226,226,2021-09-12,Italy,1
227,227,2021-09-12,Italy,0
228,228,2021-09-12,Germany,0
229,229,2021-09-12,Spain,1
230,230,2021-09-12,Spain,0
231,231,2021-09-12,Italy,1
232,232,2021-09-12,Portugal,0
233,233,2021-09-12,United Kingdom,1
234,234,2021-09-12,Spain,1
235,235,2021-09-12,Spain,0
236,236,2021-09-12,Spain,1
237,237,2021-09-12,Portugal,1
238,238,2021-09-12,Spain,0
239,239,2021-09-12,Spain,0
240,240,2021-09-12,Spain,0
241,241,2021-09-12,United Kingdom,0
242,242,2021-09-12,Italy,0
243,243,2021-09-12,Spain,0
244,244,2021-09-12,Spain,1
245,245,2021-09-12,Portugal,0
246,246,2021-09-12,France,1
247,247,2021-09-12,Spain,1
248,248,2021-09-12,Spain,0
249,249,2021-09-12,Portugal,0
250,250,2021-09-12,Spain,1
251,251,2021-09-12,Spain,1
252,252,2021-09-13,Spain,0
253,253,2021-09-13,Spain,1
254,254,2021-09-13,Italy,1
255,255,2021-09-13,Italy,0
256,256,2021-09-13,United Kingdom,1
257,257,2021-09-13,Italy,0
258,258,2021-09-13,Spain,1
259,259,2021-09-13,Spain,1
260,260,2021-09-13,Latvia,0
261,261,2021-09-13,France,0
262,262,2021-09-13,Spain,0
263,263,2021-09-13,Spain,0
264,264,2021-09-13,Spain,1
265,265,2021-09-13,Spain,1
266,266,2021-09-13,United Kingdom,0
267,267,2021-09-13,Italy,1
268,268,2021-09-13,Italy,1
269,269,2021-09-13,Spain,1
270,270,2021-09-13,United Kingdom,1
271,271,2021-09-13,France,1
272,272,2021-09-13,Spain,1
273,273,2021-09-13,France,0
274,274,2021-09-13,Italy,1
275,275,2021-09-13,Croatia,0
276,276,2021-09-13,Greece,1
277,277,2021-09-13,Hungary,0
278,278,2021-09-13,United Kingdom,0
279,279,2021-09-13,France,1
280,280,2021-09-13,Portugal,0
281,281,2021-09-13,Italy,0
282,282,2021-09-13,Germany,1
283,283,2021-09-13,Spain,1
284,284,2021-09-13,France,0
285,285,2021-09-13,Italy,0
286,286,2021-09-13,Spain,0
287,287,2021-09-13,France,1
288,288,2021-09-13,United Kingdom,0
289,289,2021-09-13,Spain,0
290,290,2021-09-13,Spain,1
291,291,2021-09-13,Italy,0
292,292,2021-09-13,Spain,0
293,293,2021-09-13,Spain,1
294,294,2021-09-13,United Kingdom,0
295,295,2021-09-14,Spain,1
296,296,2021-09-14,Italy,0
297,297,2021-09-14,Spain,1
298,298,2021-09-14,Spain,0
299,299,2021-09-14,France,0
300,300,2021-09-14,Italy,0
301,301,2021-09-14,United Kingdom,1
302,302,2021-09-14,Portugal,1
303,303,2021-09-14,Spain,0
304,304,2021-09-14,United Kingdom,1
305,305,2021-09-14,Spain,0
306,306,2021-09-14,United Kingdom,1
307,307,2021-09-14,Spain,1
308,308,2021-09-14,Spain,0
309,309,2021-09-14,Italy,0
310,310,2021-09-14,Spain,1
311,311,2021-09-14,United Kingdom,0
312,312,2021-09-14,Spain,0
313,313,2021-09-14,Italy,1
314,314,2021-09-14,Spain,1
315,315,2021-09-14,United Kingdom,0
316,316,2021-09-14,Spain,0
317,317,2021-09-14,Spain,0
318,318,2021-09-14,Spain,1
319,319,2021-09-14,Finland,1
320,320,2021-09-14,Italy,0
321,321,2021-09-14,Italy,0
322,322,2021-09-14,Portugal,0
323,323,2021-09-14,Spain,1
324,324,2021-09-14,Spain,0
325,325,2021-09-14,Italy,0
326,326,2021-09-14,Spain,0
327,327,2021-09-14,Italy,1
328,328,2021-09-14,Spain,0
329,329,2021-09-14,Belgium,0
330,330,2021-09-14,Portugal,1
331,331,2021-09-14,France,0
332,332,2021-09-14,Spain,1
333,333,2021-09-14,Spain,1
334,334,2021-09-14,France,1
335,335,2021-09-15,Sweden,1
336,336,2021-09-15,Italy,0
337,337,2021-09-15,France,0
338,338,2021-09-15,Portugal,0
339,339,2021-09-15,Portugal,1
340,340,2021-09-15,Czech Republic,1
341,341,2021-09-15,Spain,1
342,342,2021-09-15,Spain,0
343,343,2021-09-15,Portugal,1
344,344,2021-09-15,France,1
345,345,2021-09-15,Estonia,1
346,346,2021-09-15,France,0
347,347,2021-09-15,United Kingdom,1
348,348,2021-09-15,Italy,1
349,349,2021-09-15,United Kingdom,1
350,350,2021-09-15,Spain,0
351,351,2021-09-15,France,1
352,352,2021-09-15,Italy,1
353,353,2021-09-15,Spain,0
354,354,2021-09-15,Spain,0
355,355,2021-09-15,Portugal,1
356,356,2021-09-15,Portugal,1
357,357,2021-09-15,Portugal,0
358,358,2021-09-15,Czech Republic,0
359,359,2021-09-15,Spain,0
360,360,2021-09-15,Italy,1
361,361,2021-09-15,France,1
362,362,2021-09-15,Spain,1
363,363,2021-09-15,Spain,1
364,364,2021-09-15,France,0
365,365,2021-09-15,Spain,0
366,366,2021-09-15,Spain,0
367,367,2021-09-15,Spain,0
368,368,2021-09-15,Italy,1
369,369,2021-09-15,Spain,0
370,370,2021-09-15,France,0
371,371,2021-09-15,Spain,1
372,372,2021-09-15,France,1
373,373,2021-09-15,Finland,0
374,374,2021-09-15,Italy,0
375,375,2021-09-15,Spain,0
376,376,2021-09-15,United Kingdom,0
377,377,2021-09-15,Czech Republic,0
378,378,2021-09-15,France,0
379,379,2021-09-16,Germany,0
380,380,2021-09-16,France,1
381,381,2021-09-16,Italy,1
382,382,2021-09-16,Bulgaria,0
383,383,2021-09-16,Italy,1
384,384,2021-09-16,Spain,0
385,385,2021-09-16,France,1
386,386,2021-09-16,Portugal,0
387,387,2021-09-16,Italy,1
388,388,2021-09-16,Portugal,0
389,389,2021-09-16,Estonia,0
390,390,2021-09-16,Spain,0
391,391,2021-09-16,Spain,0
392,392,2021-09-16,United Kingdom,0
393,393,2021-09-16,Finland,0
394,394,2021-09-16,Spain,1
395,395,2021-09-16,Spain,0
396,396,2021-09-16,Italy,1
397,397,2021-09-16,Spain,1
398,398,2021-09-16,Portugal,1
399,399,2021-09-16,Denmark,0
400,400,2021-09-16,Spain,1
401,401,2021-09-16,United Kingdom,0
402,402,2021-09-16,Spain,0
403,403,2021-09-16,Spain,1
404,404,2021-09-16,Italy,0
405,405,2021-09-16,Italy,0
406,406,2021-09-16,Spain,0
407,407,2021-09-16,France,0
408,408,2021-09-16,Spain,1
409,409,2021-09-16,Spain,1
410,410,2021-09-16,Italy,1
411,411,2021-09-16,Spain,1
412,412,2021-09-16,Sweden,1
413,413,2021-09-16,France,1
414,414,2021-09-16,Italy,0
415,415,2021-09-16,Spain,0
416,416,2021-09-16,France,1
417,417,2021-09-16,Italy,0
418,418,2021-09-16,Spain,0
419,419,2021-09-16,Portugal,0
420,420,2021-09-16,United Kingdom,0
421,421,2021-09-16,Luxembourg,1
422,422,2021-09-16,Spain,0
423,423,2021-09-16,Spain,1
424,424,2021-09-16,Hungary,1
425,425,2021-09-16,Spain,0
426,426,2021-09-16,Italy,0
427,427,2021-09-16,United Kingdom,1
428,428,2021-09-16,Spain,1
429,429,2021-09-16,Spain,0
430,430,2021-09-16,France,0
431,431,2021-09-16,Poland,0
432,432,2021-09-17,Spain,1
433,433,2021-09-17,France,0
434,434,2021-09-17,Spain,1
435,435,2021-09-17,Portugal,0
436,436,2021-09-17,United Kingdom,0
437,437,2021-09-17,Spain,0
438,438,2021-09-17,Spain,0
439,439,2021-09-17,Spain,0
440,440,2021-09-17,Germany,0
441,441,2021-09-17,Spain,0
442,442,2021-09-17,France,0
443,443,2021-09-17,United Kingdom,0
444,444,2021-09-17,Italy,0
445,445,2021-09-17,Spain,1
446,446,2021-09-17,United Kingdom,1
447,447,2021-09-17,Portugal,1
448,448,2021-09-17,France,0
449,449,2021-09-17,Spain,1
450,450,2021-09-17,France,1
451,451,2021-09-17,Spain,1
452,452,2021-09-17,Spain,0
453,453,2021-09-17,Spain,0
454,454,2021-09-17,Spain,0
455,455,2021-09-17,Slovenia,0
456,456,2021-09-17,United Kingdom,0
457,457,2021-09-17,France,1
458,458,2021-09-17,Portugal,0
459,459,2021-09-17,Italy,1
460,460,2021-09-17,Italy,0
461,461,2021-09-17,Portugal,0
462,462,2021-09-17,Germany,1
463,463,2021-09-17,France,0
464,464,2021-09-17,Spain,1
465,465,2021-09-17,Italy,1
466,466,2021-09-17,Spain,0
467,467,2021-09-17,United Kingdom,1
468,468,2021-09-17,Spain,0
469,469,2021-09-17,Croatia,1
470,470,2021-09-17,United Kingdom,1
471,471,2021-09-17,France,0
472,472,2021-09-17,Spain,1
473,473,2021-09-17,Spain,0
474,474,2021-09-17,Finland,1
475,475,2021-09-17,Italy,0
476,476,2021-09-17,Slovakia,1
477,477,2021-09-17,Spain,0
478,478,2021-09-17,Spain,0
479,479,2021-09-17,Luxembourg,1
480,480,2021-09-17,Italy,0
481,481,2021-09-17,United Kingdom,1
482,482,2021-09-17,Spain,0
483,483,2021-09-17,Spain,1
484,484,2021-09-18,Spain,1
485,485,2021-09-18,Portugal,0
486,486,2021-09-18,Italy,1
487,487,2021-09-18,Spain,0
488,488,2021-09-18,Portugal,0
489,489,2021-09-18,Spain,1
490,490,2021-09-18,Sweden,0
491,491,2021-09-18,France,1
492,492,2021-09-18,France,1
493,493,2021-09-18,Spain,1
494,494,2021-09-18,Italy,0
495,495,2021-09-18,Spain,0
496,496,2021-09-18,France,1
497,497,2021-09-18,France,1
498,498,2021-09-18,Czech Republic,0
499,499,2021-09-18,Spain,0
500,500,2021-09-18,Spain,0
501,501,2021-09-18,France,0
502,502,2021-09-18,France,1
503,503,2021-09-18,Spain,0
504,504,2021-09-18,Italy,1
505,505,2021-09-18,Spain,0
506,506,2021-09-18,Portugal,0
507,507,2021-09-18,Lithuania,0
508,508,2021-09-18,France,0
509,509,2021-09-18,France,0
510,510,2021-09-18,United Kingdom,0
511,511,2021-09-18,United Kingdom,1
512,512,2021-09-18,Portugal,1
513,513,2021-09-18,France,0
514,514,2021-09-18,United Kingdom,0
515,515,2021-09-18,Cyprus,0
516,516,2021-09-18,Spain,1
517,517,2021-09-18,Spain,0
518,518,2021-09-18,United Kingdom,1
519,519,2021-09-18,Spain,1
520,520,2021-09-18,France,0
521,521,2021-09-18,United Kingdom,0
522,522,2021-09-18,Portugal,1
523,523,2021-09-18,Spain,0
524,524,2021-09-18,Spain,0
525,525,2021-09-18,Spain,0
526,526,2021-09-18,Spain,1
527,527,2021-09-18,Spain,0
528,528,2021-09-18,Germany,0
529,529,2021-09-18,Spain,1
530,530,2021-09-18,Spain,1
531,531,2021-09-18,Italy,0
532,532,2021-09-18,Bulgaria,1
533,533,2021-09-18,Spain,0
534,534,2021-09-18,Spain,1
535,535,2021-09-18,Spain,1
536,536,2021-09-18,United Kingdom,0
537,537,2021-09-19,United Kingdom,0
538,538,2021-09-19,Spain,1
539,539,2021-09-19,Italy,0
540,540,2021-09-19,Spain,0
541,541,2021-09-19,Italy,0
542,542,2021-09-19,Spain,0
543,543,2021-09-19,Italy,1
544,544,2021-09-19,Spain,0
545,545,2021-09-19,Portugal,0
546,546,2021-09-19,Spain,1
547,547,2021-09-19,Estonia,1
548,548,2021-09-19,Poland,1
549,549,2021-09-19,Spain,1
550,550,2021-09-19,Spain,0
551,551,2021-09-19,Spain,0
552,552,2021-09-19,Portugal,0
553,553,2021-09-19,Spain,0
554,554,2021-09-19,Portugal,1
555,555,2021-09-19,Italy,0
556,556,2021-09-19,Spain,1
557,557,2021-09-19,Latvia,1
558,558,2021-09-19,Spain,0
559,559,2021-09-19,Spain,1
560,560,2021-09-19,United Kingdom,1
561,561,2021-09-19,France,0
562,562,2021-09-19,Spain,0
563,563,2021-09-19,Spain,0
564,564,2021-09-19,Spain,0
565,565,2021-09-19,Spain,0
566,566,2021-09-19,France,0
567,567,2021-09-19,Portugal,0
568,568,2021-09-19,Italy,0
569,569,2021-09-19,Spain,1
570,570,2021-09-19,Spain,0
571,571,2021-09-19,France,0
572,572,2021-09-19,Spain,1
573,573,2021-09-19,United Kingdom,0
574,574,2021-09-19,France,1
575,575,2021-09-19,Portugal,0
576,576,2021-09-19,France,0
577,577,2021-09-19,Spain,1
578,578,2021-09-19,France,1
579,579,2021-09-19,Spain,0
580,580,2021-09-19,Italy,1
581,581,2021-09-19,Spain,0
582,582,2021-09-19,Romania,1
583,583,2021-09-19,France,1
584,584,2021-09-19,Spain,0
585,585,2021-09-19,Croatia,0
586,586,2021-09-19,United Kingdom,0
587,587,2021-09-19,Lithuania,1
588,588,2021-09-19,United Kingdom,0
589,589,2021-09-19,Portugal,1
590,590,2021-09-19,Spain,1
591,591,2021-09-19,Spain,1
592,592,2021-09-19,Spain,1
593,593,2021-09-19,Spain,1
594,594,2021-09-19,France,0
595,595,2021-09-19,Germany,1
596,596,2021-09-19,Spain,0
597,597,2021-09-20,Spain,0
598,598,2021-09-20,France,0
599,599,2021-09-20,Italy,0
600,600,2021-09-20,Italy,1
601,601,2021-09-20,Portugal,0
602,602,2021-09-20,Croatia,0
603,603,2021-09-20,Spain,1
604,604,2021-09-20,Bulgaria,1
605,605,2021-09-20,France,1
606,606,2021-09-20,Italy,1
607,607,2021-09-20,United Kingdom,1
608,608,2021-09-20,Italy,0
609,609,2021-09-20,Spain,1
610,610,2021-09-20,Spain,0
611,611,2021-09-20,Spain,0
612,612,2021-09-20,United Kingdom,1
613,613,2021-09-20,Italy,1
614,614,2021-09-20,Spain,1
615,615,2021-09-20,United Kingdom,0
616,616,2021-09-20,Portugal,0
617,617,2021-09-20,Spain,1
618,618,2021-09-20,France,1
619,619,2021-09-20,United Kingdom,0
620,620,2021-09-20,Spain,0
621,621,2021-09-20,Italy,1
622,622,2021-09-20,France,0
623,623,2021-09-20,Spain,1
624,624,2021-09-20,Spain,0
625,625,2021-09-20,Spain,1
626,626,2021-09-20,France,0
627,627,2021-09-20,France,1
628,628,2021-09-20,Italy,1
629,629,2021-09-20,Spain,0
630,630,2021-09-20,Spain,1
631,631,2021-09-20,Spain,1
632,632,2021-09-20,Spain,0
633,633,2021-09-20,Finland,0
634,634,2021-09-20,Portugal,1
635,635,2021-09-20,Portugal,0
636,636,2021-09-20,Spain,0
637,637,2021-09-20,Luxembourg,0
638,638,2021-09-20,Malta,0
639,639,2021-09-20,France,1
640,640,2021-09-20,Spain,1
641,641,2021-09-20,Germany,0
642,642,2021-09-20,France,1
643,643,2021-09-20,Czech Republic,0
644,644,2021-09-20,Spain,0
645,645,2021-09-20,France,1
646,646,2021-09-20,France,0
647,647,2021-09-20,United Kingdom,0
648,648,2021-09-20,Spain,1
649,649,2021-09-20,Italy,0
650,650,2021-09-20,Spain,1
651,651,2021-09-20,France,1
652,652,2021-09-20,Spain,1
653,653,2021-09-20,France,1
654,654,2021-09-20,Spain,0
655,655,2021-09-20,Spain,0
656,656,2021-09-20,Spain,0
657,657,2021-09-20,Spain,1
658,658,2021-09-20,Italy,1
659,659,2021-09-21,Czech Republic,0
660,660,2021-09-21,Spain,1
661,661,2021-09-21,United Kingdom,1
662,662,2021-09-21,Spain,1
663,663,2021-09-21,Portugal,1
664,664,2021-09-21,Latvia,1
665,665,2021-09-21,United Kingdom,1
666,666,2021-09-21,Italy,0
667,667,2021-09-21,Spain,1
668,668,2021-09-21,France,1
669,669,2021-09-21,Spain,0
670,670,2021-09-21,Spain,1
671,671,2021-09-21,Spain,0
672,672,2021-09-21,Sweden,0
673,673,2021-09-21,Germany,1
674,674,2021-09-21,Spain,0
675,675,2021-09-21,Spain,1
676,676,2021-09-21,Latvia,1
677,677,2021-09-21,Spain,0
678,678,2021-09-21,Estonia,0
679,679,2021-09-21,Spain,0
680,680,2021-09-21,Spain,1
681,681,2021-09-21,Italy,1
682,682,2021-09-21,France,0
683,683,2021-09-21,France,1
684,684,2021-09-21,United Kingdom,0
685,685,2021-09-21,France,0
686,686,2021-09-21,Spain,1
687,687,2021-09-21,Austria,1
688,688,2021-09-21,Portugal,0
689,689,2021-09-21,Spain,0
690,690,2021-09-21,Germany,1
691,691,2021-09-21,Estonia,1
692,692,2021-09-21,Spain,1
693,693,2021-09-21,Italy,0
694,694,2021-09-21,Italy,0
695,695,2021-09-21,France,0
696,696,2021-09-21,Spain,0
697,697,2021-09-21,Spain,0
698,698,2021-09-21,Italy,1
699,699,2021-09-21,France,0
700,700,2021-09-21,Spain,0
701,701,2021-09-21,France,0
702,702,2021-09-21,France,0
703,703,2021-09-21,Italy,1
704,704,2021-09-21,Spain,1
705,705,2021-09-21,Spain,0
706,706,2021-09-21,Portugal,0
707,707,2021-09-21,Spain,1
708,708,2021-09-21,Germany,1
709,709,2021-09-21,Poland,1
710,710,2021-09-21,Malta,1
711,711,2021-09-21,United Kingdom,0
712,712,2021-09-21,France,1
713,713,2021-09-21,Latvia,1
714,714,2021-09-21,Spain,0
715,715,2021-09-21,Spain,1
716,716,2021-09-21,Netherlands,1
717,717,2021-09-21,Spain,1
718,718,2021-09-21,Spain,0
719,719,2021-09-21,France,0
720,720,2021-09-21,Netherlands,0
721,721,2021-09-21,Spain,1
722,722,2021-09-21,Spain,0
723,723,2021-09-22,Portugal,0
724,724,2021-09-22,Slovenia,0
725,725,2021-09-22,United Kingdom,0
726,726,2021-09-22,Spain,1
727,727,2021-09-22,Portugal,1
728,728,2021-09-22,Spain,1
729,729,2021-09-22,Spain,0
730,730,2021-09-22,Italy,0
731,731,2021-09-22,Portugal,1
732,732,2021-09-22,Spain,1
733,733,2021-09-22,Spain,0
734,734,2021-09-22,United Kingdom,1
735,735,2021-09-22,France,1
736,736,2021-09-22,Spain,0
737,737,2021-09-22,Spain,0
738,738,2021-09-22,Austria,0
739,739,2021-09-22,Malta,1
740,740,2021-09-22,United Kingdom,0
741,741,2021-09-22,Poland,0
742,742,2021-09-22,United Kingdom,0
743,743,2021-09-22,United Kingdom,1
744,744,2021-09-22,Portugal,1
745,745,2021-09-22,Italy,0
746,746,2021-09-22,Spain,1
747,747,2021-09-22,France,1
748,748,2021-09-22,United Kingdom,1
749,749,2021-09-22,Italy,1
750,750,2021-09-22,Spain,1
751,751,2021-09-22,Portugal,1
752,752,2021-09-22,Spain,1
753,753,2021-09-22,Spain,0
754,754,2021-09-22,France,0
755,755,2021-09-22,Netherlands,1
756,756,2021-09-22,Portugal,0
757,757,2021-09-22,Italy,0
758,758,2021-09-22,Spain,1
759,759,2021-09-22,Spain,1
760,760,2021-09-22,Spain,1
761,761,2021-09-22,Spain,1
762,762,2021-09-22,Portugal,1
763,763,2021-09-22,France,1
764,764,2021-09-22,Spain,1
765,765,2021-09-22,Cyprus,1
766,766,2021-09-22,Spain,0
767,767,2021-09-22,Spain,1
768,768,2021-09-22,France,0
769,769,2021-09-22,Portugal,0
770,770,2021-09-22,Luxembourg,1
771,771,2021-09-22,France,0
772,772,2021-09-22,Slovakia,1
773,773,2021-09-22,Italy,1
774,774,2021-09-22,Spain,1
775,775,2021-09-22,United Kingdom,1
776,776,2021-09-22,Latvia,1
777,777,2021-09-22,Belgium,0
778,778,2021-09-22,Spain,0
779,779,2021-09-22,Spain,0
780,780,2021-09-22,Finland,1
781,781,2021-09-22,France,1
782,782,2021-09-22,Italy,0
783,783,2021-09-22,United Kingdom,1
784,784,2021-09-22,Spain,0
785,785,2021-09-22,Bulgaria,0
786,786,2021-09-22,Slovenia,0
787,787,2021-09-22,Germany,1
788,788,2021-09-22,United Kingdom,1
789,789,2021-09-22,United Kingdom,0
790,790,2021-09-22,Czech Republic,0
791,791,2021-09-22,Czech Republic,1
792,792,2021-09-22,Spain,1
793,793,2021-09-22,Cyprus,0
794,794,2021-09-22,Italy,0
795,795,2021-09-23,Spain,1
796,796,2021-09-23,Spain,1
797,797,2021-09-23,Spain,0
798,798,2021-09-23,Spain,0
799,799,2021-09-23,France,0
800,800,2021-09-23,Spain,1
801,801,2021-09-23,Portugal,1
802,802,2021-09-23,Bulgaria,0
803,803,2021-09-23,Spain,1
804,804,2021-09-23,Italy,1
805,805,2021-09-23,Portugal,1
806,806,2021-09-23,France,1
807,807,2021-09-23,Romania,1
808,808,2021-09-23,Italy,0
